point,numerical_iteration,numerical_gross_mass_kg,numerical_battery_mass_kg,numerical_structure_mass_kg,numerical_propulsion_mass_kg,numerical_total_disk_area_m2,numerical_ideal_induced_power_w,numerical_propulsion_hover_power_w,numerical_total_hover_power_w,numerical_required_nominal_battery_energy_wh,numerical_installed_nominal_battery_energy_wh,numerical_energy_limited_battery_mass_kg,numerical_power_limited_battery_mass_kg,numerical_relative_mass_change
middle,32.0,8.4735155,3.60680133,1.68915275,1.11834193,1.38479076,411.17622103,918.46827852,997.81610461,692.92785042,692.92785042,3.60680133,2.8183071,0.00011258
middle,33.0,8.47428797,3.60717514,1.68927701,1.11846785,1.38494668,411.22251694,918.5716924,997.91951848,692.99966561,692.99966561,3.60717514,2.81861301,9.115e-05
middle,34.0,8.47491348,3.60747783,1.68937762,1.11856981,1.38507294,411.26000521,918.65543213,998.00325822,693.05781821,693.05781821,3.60747783,2.81886072,7.381e-05
middle,35.0,8.47541999,3.60772294,1.68945909,1.11865238,1.38517517,411.29036146,918.72324066,998.07106675,693.10490746,693.10490746,3.60772294,2.81906131,5.976e-05
middle,36.0,8.47583014,3.60792141,1.68952507,1.11871924,1.38525796,411.31494254,918.77814885,998.12597494,693.14303815,693.14303815,3.60792141,2.81922373,4.839e-05
middle,37.0,8.47616226,3.60808213,1.68957849,1.11877337,1.38532499,411.33484716,918.82261094,998.17043703,693.1739146,693.1739146,3.60808213,2.81935525,3.918e-05
middle,38.0,8.47643119,3.60821227,1.68962175,1.11881721,1.38537928,411.35096498,918.85861427,998.20644036,693.19891691,693.19891691,3.60821227,2.81946176,3.173e-05
middle,39.0,8.47664896,3.60831765,1.68965678,1.11885271,1.38542323,411.36401645,918.88776809,998.23559417,693.21916262,693.21916262,3.60831765,2.81954799,2.569e-05
middle,40.0,8.4768253,3.60840299,1.68968514,1.11888145,1.38545883,411.37458491,918.91137549,998.25920157,693.23555665,693.23555665,3.60840299,2.81961783,2.08e-05
middle,41.0,8.4769681,3.60847209,1.68970811,1.11890473,1.38548765,411.38314277,918.93049166,998.27831775,693.24883177,693.24883177,3.60847209,2.81967438,1.684e-05
middle,42.0,8.47708372,3.60852804,1.68972671,1.11892358,1.38551099,411.39007252,918.94597104,998.29379713,693.25958134,693.25958134,3.60852804,2.81972016,1.364e-05
middle,43.0,8.47717735,3.60857335,1.68974177,1.11893884,1.38552988,411.3956839,918.95850553,998.30633162,693.26828584,693.26828584,3.60857335,2.81975724,1.104e-05
middle,44.0,8.47725317,3.60861004,1.68975396,1.1189512,1.38554519,411.40022774,918.96865537,998.31648146,693.27533435,693.27533435,3.60861004,2.81978727,8.94e-06
middle,45.0,8.47731456,3.60863975,1.68976384,1.11896121,1.38555758,411.40390713,918.97687424,998.32470033,693.28104189,693.28104189,3.60863975,2.81981158,7.24e-06
middle,46.0,8.47736427,3.6086638,1.68977184,1.11896931,1.38556761,411.40688653,918.9835295,998.33135558,693.2856636,693.2856636,3.6086638,2.81983127,5.86e-06
middle,47.0,8.47740453,3.60868328,1.68977831,1.11897587,1.38557574,411.40929911,918.98891861,998.3367447,693.28940604,693.28940604,3.60868328,2.81984721,4.75e-06
middle,48.0,8.47743713,3.60869906,1.68978355,1.11898119,1.38558232,411.4112527,918.99328247,998.34110855,693.2924365,693.2924365,3.60869906,2.81986012,3.85e-06
middle,49.0,8.47746352,3.60871183,1.6897878,1.11898549,1.38558765,411.41283463,918.99681611,998.3446422,693.29489042,693.29489042,3.60871183,2.81987057,3.11e-06
middle,50.0,8.47748489,3.60872217,1.68979124,1.11898897,1.38559196,411.41411561,918.9996775,998.34750358,693.29687749,693.29687749,3.60872217,2.81987903,2.52e-06
middle,51.0,8.4775022,3.60873055,1.68979402,1.11899179,1.38559545,411.41515288,919.00199451,998.3498206,693.29848653,693.29848653,3.60873055,2.81988589,2.04e-06
middle,52.0,8.47751622,3.60873733,1.68979628,1.11899408,1.38559828,411.41599281,919.00387072,998.35169681,693.29978945,693.29978945,3.60873733,2.81989144,1.65e-06
middle,53.0,8.47752757,3.60874282,1.6897981,1.11899593,1.38560057,411.41667295,919.00538999,998.35321607,693.3008445,693.3008445,3.60874282,2.81989593,1.34e-06
middle,54.0,8.47753675,3.60874727,1.68979958,1.11899743,1.38560243,411.4172237,919.00662022,998.35444631,693.30169882,693.30169882,3.60874727,2.81989957,1.08e-06
middle,55.0,8.4775442,3.60875087,1.68980078,1.11899864,1.38560393,411.41766966,919.0076164,998.35544249,693.30239062,693.30239062,3.60875087,2.81990252,8.8e-07
middle,56.0,8.47755022,3.60875378,1.68980175,1.11899962,1.38560515,411.41803079,919.00842307,998.35624915,693.3029508,693.3029508,3.60875378,2.8199049,7.1e-07
middle,57.0,8.4775551,3.60875615,1.68980253,1.11900042,1.38560613,411.41832321,919.00907626,998.35690235,693.30340441,693.30340441,3.60875615,2.81990684,5.8e-07
middle,58.0,8.47755905,3.60875806,1.68980317,1.11900106,1.38560693,411.41856,919.00960519,998.35743128,693.30377172,693.30377172,3.60875806,2.8199084,4.7e-07
middle,59.0,8.47756225,3.60875961,1.68980368,1.11900158,1.38560757,411.41875174,919.0100335,998.35785958,693.30406916,693.30406916,3.60875961,2.81990967,3.8e-07
middle,60.0,8.47756484,3.60876086,1.6898041,1.119002,1.3856081,411.418907,919.01038032,998.3582064,693.30431,693.30431,3.60876086,2.81991069,3.1e-07
middle,61.0,8.47756694,3.60876187,1.68980443,1.11900235,1.38560852,411.41903273,919.01066116,998.35848724,693.30450503,693.30450503,3.60876187,2.81991152,2.5e-07
middle,62.0,8.47756864,3.6087627,1.68980471,1.11900262,1.38560886,411.41913453,919.01088856,998.35871465,693.30466295,693.30466295,3.6087627,2.8199122,2e-07
middle,63.0,8.47757001,3.60876336,1.68980493,1.11900285,1.38560914,411.41921697,919.01107271,998.3588988,693.30479083,693.30479083,3.60876336,2.81991274,1.6e-07
middle,64.0,8.47757113,3.6087639,1.68980511,1.11900303,1.38560937,411.41928372,919.01122182,998.35904791,693.30489438,693.30489438,3.6087639,2.81991318,1.3e-07
middle,65.0,8.47757203,3.60876434,1.68980525,1.11900318,1.38560955,411.41933778,919.01134257,998.35916865,693.30497823,693.30497823,3.60876434,2.81991354,1.1e-07
middle,66.0,8.47757276,3.60876469,1.68980537,1.1190033,1.3856097,411.41938155,919.01144034,998.35926643,693.30504613,693.30504613,3.60876469,2.81991383,9e-08
demanding,1.0,6.96460298,3.66378733,1.59823946,0.65997864,0.81722083,242.65165789,542.02514421,675.72079638,703.87582957,703.87582957,3.66378733,1.77419626,0.28208399
